Package,Built
abind,3.5.0
ada,3.5.0
animation,3.5.0
ape,3.5.1
asbio,3.5.0
assertthat,3.5.0
backports,3.5.0
base64,3.5.0
base64enc,3.5.0
BH,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
bookdown,3.5.0
brew,3.5.0
broom,3.5.0
BSDA,3.5.0
callr,3.5.0
car,3.5.0
carData,3.5.0
cartogram,3.5.1
caTools,3.5.0
cellranger,3.5.0
classInt,3.5.1
cli,3.5.0
clipr,3.5.1
clisymbols,3.5.1
coda,3.5.0
colorspace,3.5.0
crayon,3.5.0
crosstalk,3.5.1
curl,3.5.0
data.table,3.5.0
DBI,3.5.0
dbplyr,3.5.0
DEoptimR,3.5.0
desc,3.5.1
DescTools,3.5.0
deSolve,3.5.0
devtools,3.5.1
dichromat,3.5.0
digest,3.5.0
doParallel,3.5.1
dplyr,3.5.0
DT,3.5.1
e1071,3.5.0
egonet,3.5.0
EpiModel,3.5.1
ergm,3.5.1
ergm.count,3.5.0
ergm.ego,3.5.0
evaluate,3.5.0
evd,3.5.0
expm,3.5.0
fastmatch,3.5.0
ff,3.5.0
ffbase,3.5.0
forcats,3.5.0
foreach,3.5.1
fs,3.5.1
gdalUtils,3.5.1
gdtools,3.5.1
GGally,3.5.0
ggplot2,3.5.1
gh,3.5.1
git2r,3.5.1
glue,3.5.0
googlesheets,3.5.0
gridExtra,3.5.1
gtable,3.5.0
haven,3.5.0
here,3.5.1
hexbin,3.5.1
highr,3.5.0
hms,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
ini,3.5.1
ipred,3.5.0
iterators,3.5.1
jomo,3.5.0
jsonlite,3.5.0
knitr,3.5.0
labeling,3.5.0
later,3.5.0
latticeExtra,3.5.0
lava,3.5.0
lazyeval,3.5.0
leaflet,3.5.1
lme4,3.5.0
lpSolve,3.5.0
lubridate,3.5.0
lwgeom,3.5.1
magrittr,3.5.0
manipulate,3.5.0
maps,3.5.1
maptools,3.5.0
mapview,3.5.1
markdown,3.5.0
MatrixModels,3.5.0
memoise,3.5.0
mice,3.5.0
mime,3.5.0
minqa,3.5.0
mitml,3.5.0
mnormt,3.5.0
modelr,3.5.0
multcompView,3.5.0
munsell,3.5.0
mvtnorm,3.5.0
ndtv,3.5.0
network,3.5.0
networkDynamic,3.5.0
nloptr,3.5.0
numDeriv,3.5.0
openssl,3.5.0
openxlsx,3.5.0
packcircles,3.5.1
packrat,3.5.0
pan,3.5.0
pbkrtest,3.5.0
pillar,3.5.0
pixmap,3.5.0
pkgconfig,3.5.0
PKI,3.5.0
plogr,3.5.0
plotly,3.5.1
plotrix,3.5.0
plyr,3.5.0
png,3.5.0
pracma,3.5.0
praise,3.5.0
prettyunits,3.5.0
processx,3.5.0
prodlim,3.5.0
progress,3.5.0
promises,3.5.0
psych,3.5.0
purrr,3.5.0
quantreg,3.5.0
R.methodsS3,3.5.0
R.oo,3.5.0
R.utils,3.5.1
R6,3.5.0
raster,3.5.1
RColorBrewer,3.5.0
Rcpp,3.5.0
RcppEigen,3.5.0
RCurl,3.5.0
readr,3.5.0
readxl,3.5.0
RecordLinkage,3.5.0
rematch,3.5.0
reprex,3.5.0
reshape,3.5.0
reshape2,3.5.0
rgdal,3.5.1
rgeos,3.5.1
rio,3.5.0
RJSONIO,3.5.0
rlang,3.5.0
rmarkdown,3.5.0
robustbase,3.5.0
rprojroot,3.5.0
rsconnect,3.5.0
RSQLite,3.5.0
rstudioapi,3.5.0
rvest,3.5.0
satellite,3.5.1
scales,3.5.0
scatterplot3d,3.5.0
selectr,3.5.0
sf,3.5.1
shiny,3.5.0
sna,3.5.1
sourcetools,3.5.0
sp,3.5.0
SparseM,3.5.0
spData,3.5.1
SQUAREM,3.5.0
statnet,3.5.0
statnet.common,3.5.0
statnetWeb,3.5.1
stringi,3.5.0
stringr,3.5.0
svglite,3.5.1
tergm,3.5.1
testthat,3.5.0
tibble,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.1
tinytex,3.5.0
tmap,3.5.0
tmaptools,3.5.0
trust,3.5.0
tsna,3.5.0
units,3.5.1
usethis,3.5.1
utf8,3.5.0
uuid,3.5.0
viridis,3.5.1
viridisLite,3.5.0
webshot,3.5.1
whisker,3.5.0
withr,3.5.0
xfun,3.5.0
XML,3.5.1
xml2,3.5.0
xtable,3.5.0
yaml,3.5.0
translations,3.5.1
